x	y	key	tooltip	clickSelects	showSelected1
-1.67323787029126	-1.67323787029126	1	fold 1 featureless=-1.673 rpart=-1.673	1	constant easy 10
-1.56868300418056	-1.56868300418056	2	fold 2 featureless=-1.569 rpart=-1.569	2	constant easy 10
-1.65424742300773	-1.65424742300773	3	fold 3 featureless=-1.654 rpart=-1.654	3	constant easy 10
-1.60173343002847	-1.60173343002847	4	fold 4 featureless=-1.602 rpart=-1.602	4	constant easy 10
-1.64475155209712	-1.64475155209712	5	fold 5 featureless=-1.645 rpart=-1.645	5	constant easy 10
-1.62218411535181	-1.62218411535181	6	fold 6 featureless=-1.622 rpart=-1.622	6	constant easy 10
-1.68183934782743	-1.68183934782743	1	fold 1 featureless=-1.682 rpart=-1.682	1	constant easy 18
-1.57038373951243	-1.57038373951243	2	fold 2 featureless=-1.570 rpart=-1.570	2	constant easy 18
-1.60684904986262	-1.60684904986262	3	fold 3 featureless=-1.607 rpart=-1.607	3	constant easy 18
-1.58149293186353	-1.58149293186353	4	fold 4 featureless=-1.581 rpart=-1.581	4	constant easy 18
-1.64312801647391	-1.64312801647391	5	fold 5 featureless=-1.643 rpart=-1.643	5	constant easy 18
-1.6535787519334	-1.6535787519334	6	fold 6 featureless=-1.654 rpart=-1.654	6	constant easy 18
-1.67257471773519	-1.64107810375329	1	fold 1 featureless=-1.673 rpart=-1.641	1	constant easy 32
-1.56281480291469	-1.47760220026309	2	fold 2 featureless=-1.563 rpart=-1.478	2	constant easy 32
-1.63387740393944	-1.47784980081149	3	fold 3 featureless=-1.634 rpart=-1.478	3	constant easy 32
-1.59456956968695	-1.60331732412637	4	fold 4 featureless=-1.595 rpart=-1.603	4	constant easy 32
-1.64581308073169	-1.61894471330862	5	fold 5 featureless=-1.646 rpart=-1.619	5	constant easy 32
-1.6513331368186	-1.60200787592078	6	fold 6 featureless=-1.651 rpart=-1.602	6	constant easy 32
-1.67878775858659	-1.63174527412089	1	fold 1 featureless=-1.679 rpart=-1.632	1	constant easy 56
-1.57057655011382	-1.47578076556738	2	fold 2 featureless=-1.571 rpart=-1.476	2	constant easy 56
-1.66463992994414	-1.55341723082017	3	fold 3 featureless=-1.665 rpart=-1.553	3	constant easy 56
