size	fill	colour	y	x	showSelectedlegendcolour	showSelectedlegendsizefill	PANEL
2	#00BFFF	#000000	-1.46482657658781	1.50514997831991	significant	rpart	5
4	#FF0000	transparent	-1.51564578847769	1.7481880270062	not significant	featureless	5
2	#00BFFF	transparent	-1.48683758133691	1.7481880270062	not significant	rpart	5
4	#FF0000	transparent	-1.51708079697045	2	not significant	featureless	5
2	#00BFFF	transparent	-1.56407681286892	2	not significant	rpart	5
4	#FF0000	transparent	-1.52157016443937	2.25042000230889	not significant	featureless	5
2	#00BFFF	transparent	-1.56590362705976	2.25042000230889	not significant	rpart	5
4	#FF0000	#000000	-1.5244674117734	2.4996870826184	significant	featureless	5
2	#00BFFF	#000000	-1.57938157873685	2.4996870826184	significant	rpart	5
4	#FF0000	#000000	-1.52397442609099	2.74973631556906	significant	featureless	5
2	#00BFFF	#000000	-1.60193116050658	2.74973631556906	significant	rpart	5
4	#FF0000	#000000	-1.52433036612979	3	significant	featureless	5
2	#00BFFF	#000000	-1.60616933269167	3	significant	rpart	5
4	#FF0000	transparent	-1.53612964669354	1	not significant	featureless	6
2	#00BFFF	transparent	-1.53612964669354	1	not significant	rpart	6
4	#FF0000	transparent	-1.54909988950242	1.25527250510331	not significant	featureless	6
2	#00BFFF	transparent	-1.54909988950242	1.25527250510331	not significant	rpart	6
4	#FF0000	transparent	-1.55800541555439	1.50514997831991	not significant	featureless	6
2	#00BFFF	transparent	-1.536849805558	1.50514997831991	not significant	rpart	6
4	#FF0000	#000000	-1.56516465969088	1.7481880270062	significant	featureless	6
2	#00BFFF	#000000	-1.46948792165117	1.7481880270062	significant	rpart	6
4	#FF0000	#000000	-1.56494351948579	2	significant	featureless	6
2	#00BFFF	#000000	-1.46715240475575	2	significant	rpart	6
4	#FF0000	#000000	-1.56488223209755	2.25042000230889	significant	featureless	6
2	#00BFFF	#000000	-1.49460265028729	2.25042000230889	significant	rpart	6
4	#FF0000	transparent	-1.56433217007821	2.4996870826184	not significant	featureless	6
2	#00BFFF	transparent	-1.51786028236968	2.4996870826184	not significant	rpart	6
4	#FF0000	transparent	-1.56495283262226	2.74973631556906	not significant	featureless	6
2	#00BFFF	transparent	-1.56086033129835	2.74973631556906	not significant	rpart	6
4	#FF0000	transparent	-1.56525770332183	3	not significant	featureless	6
2	#00BFFF	transparent	-1.55985825586704	3	not significant	rpart	6
