y	yend	x	xend	key	showSelected1	PANEL
-1.62747289915949	-1.62747289915949	1	1	1	constant easy 10	1
-1.62287863957888	-1.62287863957888	1.25527250510331	1.25527250510331	1	constant easy 18	1
-1.57013333636394	-1.62683045197109	1.50514997831991	1.50514997831991	1	constant easy 32	1
-1.58138832839886	-1.63292090169944	1.7481880270062	1.7481880270062	1	constant easy 56	1
-1.58078413694615	-1.63512102439687	2	2	1	constant easy 100	1
-1.57399995617088	-1.63585990199573	2.25042000230889	2.25042000230889	1	constant easy 178	1
-1.60539512675253	-1.63500382145857	2.4996870826184	2.4996870826184	1	constant easy 316	1
-1.61573022349579	-1.63528540349385	2.74973631556906	2.74973631556906	1	constant easy 562	1
-1.63472573309241	-1.63472573309241	3	3	1	constant easy 1000	1
-1.6429659195649	-1.6429659195649	1	1	1	constant hard 10	2
-1.64998471448462	-1.64998471448462	1.25527250510331	1.25527250510331	1	constant hard 18	2
-1.61478074989692	-1.64639596942897	1.50514997831991	1.50514997831991	1	constant hard 32	2
-1.59034892217689	-1.64454835153011	1.7481880270062	1.7481880270062	1	constant hard 56	2
-1.54890333885609	-1.64112611944639	2	2	1	constant hard 100	2
-1.58324978424075	-1.64577129493248	2.25042000230889	2.25042000230889	1	constant hard 178	2
-1.61175077273398	-1.6480000415584	2.4996870826184	2.4996870826184	1	constant hard 316	2
-1.64410286704881	-1.64815853216702	2.74973631556906	2.74973631556906	1	constant hard 562	2
-1.64838891131778	-1.64838891131778	3	3	1	constant hard 1000	2
-1.49768275054105	-1.49768275054105	1	1	1	constant impossible 10	3
-1.55216273491731	-1.55216273491731	1.25527250510331	1.25527250510331	1	constant impossible 18	3
-1.47010908983138	-1.55144120519496	1.50514997831991	1.50514997831991	1	constant impossible 32	3
-1.47831298790014	-1.55016482653555	1.7481880270062	1.7481880270062	1	constant impossible 56	3
-1.4804237359619	-1.55761611414447	2	2	1	constant impossible 100	3
-1.46966033762186	-1.56894424387545	2.25042000230889	2.25042000230889	1	constant impossible 178	3
-1.53825616587053	-1.56785499200608	2.4996870826184	2.4996870826184	1	constant impossible 316	3
-1.56362902271344	-1.57066545265801	2.74973631556906	2.74973631556906	1	constant impossible 562	3
-1.57091418363938	-1.57091418363938	3	3	1	constant impossible 1000	3
-1.44043708976979	-1.44043708976979	1	1	1	sin easy 10	4
-1.44031051279458	-1.44031051279458	1.25527250510331	1.25527250510331	1	sin easy 18	4
-1.45289922461522	-1.44323119105123	1.50514997831991	1.50514997831991	1	sin easy 32	4
-1.61006537654254	-1.44326162860299	1.7481880270062	1.7481880270062	1	sin easy 56	4
-1.77567196375664	-1.44467669195755	2	2	1	sin easy 100	4
-1.83917849335704	-1.44592000159763	2.25042000230889	2.25042000230889	1	sin easy 178	4
-1.89581947927635	-1.44538804853535	2.4996870826184	2.4996870826184	1	sin easy 316	4
-1.89412251666116	-1.44541395346763	2.74973631556906	2.74973631556906	1	sin easy 562	4
-1.91630849067145	-1.44510878784809	3	3	1	sin easy 1000	4
-1.51550155501989	-1.51550155501989	1	1	1	sin hard 10	5
-1.51255760942922	-1.51255760942922	1.25527250510331	1.25527250510331	1	sin hard 18	5
-1.46577548419207	-1.51801550360205	1.50514997831991	1.50514997831991	1	sin hard 32	5
-1.48904845744992	-1.51662612323386	1.7481880270062	1.7481880270062	1	sin hard 56	5
-1.56630795808064	-1.51806209608612	2	2	1	sin hard 100	5
-1.56826676406152	-1.52254575909062	2.25042000230889	2.25042000230889	1	sin hard 178	5
-1.58167527780323	-1.52542031060517	2.4996870826184	2.4996870826184	1	sin hard 316	5
-1.60437508727194	-1.52499219095264	2.74973631556906	2.74973631556906	1	sin hard 562	5
-1.60776196385775	-1.52534377658652	3	3	1	sin hard 1000	5
-1.53911986206244	-1.53911986206244	1	1	1	sin impossible 10	6
-1.55171150429923	-1.55171150429923	1.25527250510331	1.25527250510331	1	sin impossible 18	6
-1.53809621842397	-1.55872854432121	1.50514997831991	1.50514997831991	1	sin impossible 32	6
-1.47026752602145	-1.56612997491003	1.7481880270062	1.7481880270062	1	sin impossible 56	6
-1.46798198340481	-1.56582495198808	2	2	1	sin impossible 100	6
-1.4965325087185	-1.56605494187894	2.25042000230889	2.25042000230889	1	sin impossible 178	6
-1.51929772473734	-1.56557332293417	2.4996870826184	2.4996870826184	1	sin impossible 316	6
-1.56197848372551	-1.56613235220754	2.74973631556906	2.74973631556906	1	sin impossible 562	6
-1.56064949447886	-1.56644055098857	3	3	1	sin impossible 1000	6
