y	x	key	label	showSelected1	PANEL	group	anchor
-1.58608021400127	1	1	p=1.0000	constant easy 10	1	1	start
-1.58148595442066	1.25527250510331	1	p=1.0000	constant easy 18	1	5	start
-1.52874065120572	1.50514997831991	1	p=0.1356	constant easy 32	1	7	start
-1.53999564324063	1.7481880270062	1	p=0.1434	constant easy 56	1	8	start
-1.53939145178792	2	1	p=0.0654	constant easy 100	1	2	end
-1.53260727101265	2.25042000230889	1	p=0.0325	constant easy 178	1	4	end
-1.5640024415943	2.4996870826184	1	p=0.1815	constant easy 316	1	6	end
-1.57433753833757	2.74973631556906	1	p=0.4047	constant easy 562	1	9	end
-1.59333304793419	3	1	p=1.0000	constant easy 1000	1	3	end
-1.60157323440667	1	1	p=1.0000	constant hard 10	2	10	start
-1.6085920293264	1.25527250510331	1	p=1.0000	constant hard 18	2	14	start
-1.57338806473869	1.50514997831991	1	p=0.3410	constant hard 32	2	16	start
-1.54895623701867	1.7481880270062	1	p=0.0804	constant hard 56	2	17	start
-1.50751065369787	2	1	p=0.0216	constant hard 100	2	11	end
-1.54185709908253	2.25042000230889	1	p=0.0574	constant hard 178	2	13	end
-1.57035808757575	2.4996870826184	1	p=0.1970	constant hard 316	2	15	end
-1.60271018189059	2.74973631556906	1	p=0.8983	constant hard 562	2	18	end
-1.60699622615956	3	1	p=1.0000	constant hard 1000	2	12	end
-1.45629006538282	1	1	p=1.0000	constant impossible 10	3	19	start
-1.51077004975909	1.25527250510331	1	p=1.0000	constant impossible 18	3	23	start
-1.42871640467315	1.50514997831991	1	p=0.0492	constant impossible 32	3	25	start
-1.43692030274192	1.7481880270062	1	p=0.0511	constant impossible 56	3	26	start
-1.43903105080367	2	1	p=0.0019	constant impossible 100	3	20	end
-1.42826765246363	2.25042000230889	1	p=0.0109	constant impossible 178	3	22	end
-1.4968634807123	2.4996870826184	1	p=0.1009	constant impossible 316	3	24	end
-1.52223633755521	2.74973631556906	1	p=0.7290	constant impossible 562	3	27	end
-1.52952149848116	3	1	p=1.0000	constant impossible 1000	3	21	end
-1.39904440461156	1	1	p=1.0000	sin easy 10	4	28	start
-1.39891782763636	1.25527250510331	1	p=1.0000	sin easy 18	4	32	start
-1.401838505893	1.50514997831991	1	p=0.6498	sin easy 32	4	34	start
-1.40186894344476	1.7481880270062	1	p=0.0002	sin easy 56	4	35	start
-1.40328400679932	2	1	p<0.0001	sin easy 100	4	29	end
-1.4045273164394	2.25042000230889	1	p<0.0001	sin easy 178	4	31	end
-1.40399536337713	2.4996870826184	1	p<0.0001	sin easy 316	4	33	end
-1.4040212683094	2.74973631556906	1	p<0.0001	sin easy 562	4	36	end
-1.40371610268986	3	1	p<0.0001	sin easy 1000	4	30	end
-1.47410886986166	1	1	p=1.0000	sin hard 10	5	37	start
-1.47116492427099	1.25527250510331	1	p=1.0000	sin hard 18	5	41	start
-1.42438279903385	1.50514997831991	1	p=0.0246	sin hard 32	5	43	start
-1.4476557722917	1.7481880270062	1	p=0.2745	sin hard 56	5	44	start
-1.4766694109279	2	1	p=0.0711	sin hard 100	5	38	end
-1.4811530739324	2.25042000230889	1	p=0.0935	sin hard 178	5	40	end
-1.48402762544694	2.4996870826184	1	p=0.0440	sin hard 316	5	42	end
-1.48359950579442	2.74973631556906	1	p=0.0112	sin hard 562	5	45	end
-1.48395109142829	3	1	p=0.0034	sin hard 1000	5	39	end
-1.49772717690421	1	1	p=1.0000	sin impossible 10	6	46	start
-1.510318819141	1.25527250510331	1	p=1.0000	sin impossible 18	6	50	start
-1.49670353326574	1.50514997831991	1	p=0.2900	sin impossible 32	6	52	start
-1.42887484086322	1.7481880270062	1	p=0.0003	sin impossible 56	6	53	start
-1.42658929824658	2	1	p=0.0002	sin impossible 100	6	47	end
-1.45513982356028	2.25042000230889	1	p=0.0148	sin impossible 178	6	49	end
-1.47790503957912	2.4996870826184	1	p=0.0603	sin impossible 316	6	51	end
-1.52058579856729	2.74973631556906	1	p=0.8405	sin impossible 562	6	54	end
-1.51925680932063	3	1	p=0.7620	sin impossible 1000	6	48	end
